Video, WPM, ID
rated_depression_Depression Recovery Vlog Day 6： Update, Decisions.wav 145.729187  
rated_depression_Daily VLog from Webcam video from November 21, 2012 11_36 AM.wav    144.398346
rated_depression_Depression Vlog Feb 13⧸2016： Going Weekly.wav  133.858261
rated_depression_Daily VLog Kathy Williams-DeVries Webcam video from September 29, 2012 9_33 AM.wav 148.255814
rated_depression_A Day on A Psych Ward!.wav  57.142857
rated_depression_Creating Reality (September 27, 2017 Vlog).wav  60.576923
rated_depression_Depression Vlog Day 12： Supplies.wav 110.014099
rated_depression_abilify + zyprexa bipolar , so tired.wav   67.415733
rated_depression_Dealing with Depression and Anxiety - Day 1 Vlog.wav 164.444443
rated_depression_Abilify nightmare depression.wav 77.939232
rated_depression_Car Vlog 2  - Past Blast.wav     136.585373
rated_depression_Depression Vlog Day 22： Slow Day.wav 131.707321
rated_depression_Crazy time- Daily Vlog.wav  106.690140
rated_depression_Defense from Spiritual Assault (September 22, 2017 Daily Vlog).wav  65.546219
rated_depression_＂Why are we here？＂ (September 25, 2017 Vlog).wav  112.676056
